lineid,date,time,level,process,component,logline,eventid,eventtemplate,timestamp
105,2015-10-18,18:01:53.885,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_r_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.885
106,2015-10-18,18:01:53.885,INFO,Thread-50,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"mapResourceRequest:<memory:1024, vCores:1>",E65,"mapResourceRequest:<memory:<*>, vCores:<*>>",2015-10-18 18:01:53.885
107,2015-10-18,18:01:53.900,INFO,eventHandlingThread,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist",E41,"Event Writer setup for JobId: job_<*>, File: hdfs://<*>",2015-10-18 18:01:53.900
108,2015-10-18,18:01:53.900,INFO,Thread-50,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"reduceResourceRequest:<memory:1024, vCores:1>",E87,"reduceResourceRequest:<memory:<*>, vCores:<*>>",2015-10-18 18:01:53.900
109,2015-10-18,18:01:54.791,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Before Scheduling: PendingReds:1 ScheduledMaps:10 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0,E24,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,2015-10-18 18:01:54.791
110,2015-10-18,18:01:54.838,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:10240, vCores:-17> knownNMs=4",E45,"getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>",2015-10-18 18:01:54.838
111,2015-10-18,18:01:54.853,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:10240, vCores:-17>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:01:54.853
112,2015-10-18,18:01:54.853,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:01:54.853
113,2015-10-18,18:01:55.854,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:10240, vCores:-17>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:01:55.854
114,2015-10-18,18:01:55.854,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:01:55.854
115,2015-10-18,18:01:56.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Got allocated containers 1,E46,Got allocated containers <*>,2015-10-18 18:01:56.916
116,2015-10-18,18:01:56.916,INFO,RMCommunicator Allocator,org.apache.hadoop.yarn.util.RackResolver,Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:56.916
117,2015-10-18,18:01:56.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Assigned container container_1445144423722_0020_01_000002 to attempt_1445144423722_0020_m_000000_0,E13,Assigned container container_<*> to attempt_<*>,2015-10-18 18:01:56.916
118,2015-10-18,18:01:56.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:8192, vCores:-19>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:01:56.916
119,2015-10-18,18:01:56.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:01:56.916
120,2015-10-18,18:01:56.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,After Scheduling: PendingReds:1 ScheduledMaps:9 ScheduledReds:0 AssignedMaps:1 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:1 ContRel:0 HostLocal:0 RackLocal:1,E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,2015-10-18 18:01:56.916
121,2015-10-18,18:01:57.072,INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:57.072
122,2015-10-18,18:01:57.104,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,E107,The job-jar file on the remote FS is hdfs://<*>,2015-10-18 18:01:57.104
123,2015-10-18,18:01:57.119,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,E106,The job-conf file on the remote FS is <*>,2015-10-18 18:01:57.119
124,2015-10-18,18:01:57.119,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Adding #0 tokens and #1 secret keys for NM use for launching container,E6,Adding #<*> tokens and #<*> secret keys for NM use for launching container,2015-10-18 18:01:57.119
125,2015-10-18,18:01:57.119,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Size of containertokens_dob is 1,E95,Size of containertokens_dob is <*>,2015-10-18 18:01:57.119
126,2015-10-18,18:01:57.119,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Putting shuffle token in serviceData,E81,Putting shuffle token in serviceData,2015-10-18 18:01:57.119
127,2015-10-18,18:01:57.260,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,E21,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,2015-10-18 18:01:57.260
128,2015-10-18,18:01:57.291,INFO,ContainerLauncher #0,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000002 taskAttempt attempt_1445144423722_0020_m_000000_0,E77,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>,2015-10-18 18:01:57.291
129,2015-10-18,18:01:57.291,INFO,ContainerLauncher #0,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Launching attempt_1445144423722_0020_m_000000_0,E62,Launching attempt_<*>,2015-10-18 18:01:57.291
130,2015-10-18,18:01:57.291,INFO,ContainerLauncher #0,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883,E74,Opening proxy : <*>:<*>,2015-10-18 18:01:57.291
131,2015-10-18,18:01:57.447,INFO,ContainerLauncher #0,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000000_0 : 13562,E94,Shuffle port returned by ContainerManager for attempt_<*> : <*>,2015-10-18 18:01:57.447
132,2015-10-18,18:01:57.447,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445144423722_0020_m_000000_0] using containerId: [container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883],E105,TaskAttempt: [attempt_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>:<*>],2015-10-18 18:01:57.447
133,2015-10-18,18:01:57.447,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,E14,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,2015-10-18 18:01:57.447
134,2015-10-18,18:01:57.447,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,ATTEMPT_START task_1445144423722_0020_m_000000,E22,ATTEMPT_START task_<*>,2015-10-18 18:01:57.447
135,2015-10-18,18:01:57.447,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000000 Task Transitioned from SCHEDULED to RUNNING,E104,task_<*> Task Transitioned from SCHEDULED to RUNNING,2015-10-18 18:01:57.447
136,2015-10-18,18:01:57.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:7168, vCores:-20> knownNMs=4",E45,"getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>",2015-10-18 18:01:57.916
137,2015-10-18,18:01:57.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:7168, vCores:-20>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:01:57.916
138,2015-10-18,18:01:57.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:01:57.916
139,2015-10-18,18:01:58.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Got allocated containers 1,E46,Got allocated containers <*>,2015-10-18 18:01:58.916
140,2015-10-18,18:01:58.916,INFO,RMCommunicator Allocator,org.apache.hadoop.yarn.util.RackResolver,Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:58.916
141,2015-10-18,18:01:58.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Assigned container container_1445144423722_0020_01_000003 to attempt_1445144423722_0020_m_000001_0,E13,Assigned container container_<*> to attempt_<*>,2015-10-18 18:01:58.916
142,2015-10-18,18:01:58.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:5120, vCores:-22>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:01:58.916
143,2015-10-18,18:01:58.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:01:58.916
144,2015-10-18,18:01:58.916,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,After Scheduling: PendingReds:1 ScheduledMaps:8 ScheduledReds:0 AssignedMaps:2 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:2 ContRel:0 HostLocal:0 RackLocal:2,E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,2015-10-18 18:01:58.916
145,2015-10-18,18:01:58.916,INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:58.916
146,2015-10-18,18:01:58.916,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,E21,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,2015-10-18 18:01:58.916
147,2015-10-18,18:01:58.916,INFO,ContainerLauncher #1,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0,E77,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>,2015-10-18 18:01:58.916
148,2015-10-18,18:01:58.916,INFO,ContainerLauncher #1,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Launching attempt_1445144423722_0020_m_000001_0,E62,Launching attempt_<*>,2015-10-18 18:01:58.916
149,2015-10-18,18:01:58.916,INFO,ContainerLauncher #1,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,E74,Opening proxy : <*>:<*>,2015-10-18 18:01:58.916
150,2015-10-18,18:01:58.963,INFO,ContainerLauncher #1,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000001_0 : 13562,E94,Shuffle port returned by ContainerManager for attempt_<*> : <*>,2015-10-18 18:01:58.963
151,2015-10-18,18:01:58.963,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445144423722_0020_m_000001_0] using containerId: [container_1445144423722_0020_01_000003 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],E105,TaskAttempt: [attempt_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>:<*>],2015-10-18 18:01:58.963
152,2015-10-18,18:01:58.963,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,E14,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,2015-10-18 18:01:58.963
153,2015-10-18,18:01:58.963,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,ATTEMPT_START task_1445144423722_0020_m_000001,E22,ATTEMPT_START task_<*>,2015-10-18 18:01:58.963
154,2015-10-18,18:01:58.963,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000001 Task Transitioned from SCHEDULED to RUNNING,E104,task_<*> Task Transitioned from SCHEDULED to RUNNING,2015-10-18 18:01:58.963
155,2015-10-18,18:01:59.948,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:4096, vCores:-23> knownNMs=4",E45,"getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>",2015-10-18 18:01:59.948
156,2015-10-18,18:01:59.948,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:4096, vCores:-23>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:01:59.948
157,2015-10-18,18:01:59.948,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:01:59.948
158,2015-10-18,18:02:00.963,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Got allocated containers 1,E46,Got allocated containers <*>,2015-10-18 18:02:00.963
159,2015-10-18,18:02:00.963,INFO,RMCommunicator Allocator,org.apache.hadoop.yarn.util.RackResolver,Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:02:00.963
160,2015-10-18,18:02:00.963,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Assigned container container_1445144423722_0020_01_000004 to attempt_1445144423722_0020_m_000002_0,E13,Assigned container container_<*> to attempt_<*>,2015-10-18 18:02:00.963
161,2015-10-18,18:02:00.963,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:3072, vCores:-24>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:02:00.963
162,2015-10-18,18:02:00.963,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:02:00.963
163,2015-10-18,18:02:00.963,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,After Scheduling: PendingReds:1 ScheduledMaps:7 ScheduledReds:0 AssignedMaps:3 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:3 ContRel:0 HostLocal:0 RackLocal:3,E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,2015-10-18 18:02:00.963
164,2015-10-18,18:02:00.963,INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:02:00.963
165,2015-10-18,18:02:00.963,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,E21,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,2015-10-18 18:02:00.963
166,2015-10-18,18:02:00.979,INFO,ContainerLauncher #2,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000004 taskAttempt attempt_1445144423722_0020_m_000002_0,E77,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>,2015-10-18 18:02:00.979
167,2015-10-18,18:02:00.979,INFO,ContainerLauncher #2,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Launching attempt_1445144423722_0020_m_000002_0,E62,Launching attempt_<*>,2015-10-18 18:02:00.979
168,2015-10-18,18:02:00.979,INFO,ContainerLauncher #2,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,E74,Opening proxy : <*>:<*>,2015-10-18 18:02:00.979
169,2015-10-18,18:02:01.041,INFO,ContainerLauncher #2,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000002_0 : 13562,E94,Shuffle port returned by ContainerManager for attempt_<*> : <*>,2015-10-18 18:02:01.041
170,2015-10-18,18:02:01.041,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445144423722_0020_m_000002_0] using containerId: [container_1445144423722_0020_01_000004 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],E105,TaskAttempt: [attempt_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: [<*>:<*>],2015-10-18 18:02:01.041
171,2015-10-18,18:02:01.041,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,E14,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,2015-10-18 18:02:01.041
172,2015-10-18,18:02:01.041,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,ATTEMPT_START task_1445144423722_0020_m_000002,E22,ATTEMPT_START task_<*>,2015-10-18 18:02:01.041
173,2015-10-18,18:02:01.041,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000002 Task Transitioned from SCHEDULED to RUNNING,E104,task_<*> Task Transitioned from SCHEDULED to RUNNING,2015-10-18 18:02:01.041
174,2015-10-18,18:02:02.026,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:1024, vCores:-26> knownNMs=4",E45,"getResources() for application_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>",2015-10-18 18:02:02.026
175,2015-10-18,18:02:02.026,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:1024, vCores:-26>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:02:02.026
176,2015-10-18,18:02:02.026,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:02:02.026
177,2015-10-18,18:02:02.104,INFO,Socket Reader #1 for port 62270,SecurityLogger.org.apache.hadoop.ipc.Server,Auth successful for job_1445144423722_0020 (auth:SIMPLE),E23,Auth successful for job_<*> (auth:SIMPLE),2015-10-18 18:02:02.104
178,2015-10-18,18:02:02.510,INFO,IPC Server handler 13 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID : jvm_1445144423722_0020_m_000002 asked for a task,E58,JVM with ID : jvm_<*> asked for a task,2015-10-18 18:02:02.510
179,2015-10-18,18:02:02.510,INFO,IPC Server handler 13 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID: jvm_1445144423722_0020_m_000002 given task: attempt_1445144423722_0020_m_000000_0,E59,JVM with ID: jvm_<*> given task: <*>_<*>,2015-10-18 18:02:02.510
180,2015-10-18,18:02:03.041,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:1024, vCores:-26>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:02:03.041
181,2015-10-18,18:02:03.041,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:02:03.041
182,2015-10-18,18:02:04.167,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:02:04.167
183,2015-10-18,18:02:04.167,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:02:04.167
184,2015-10-18,18:02:05.229,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:02:05.229
185,2015-10-18,18:02:05.229,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:02:05.229
186,2015-10-18,18:02:05.651,INFO,Socket Reader #1 for port 62270,SecurityLogger.org.apache.hadoop.ipc.Server,Auth successful for job_1445144423722_0020 (auth:SIMPLE),E23,Auth successful for job_<*> (auth:SIMPLE),2015-10-18 18:02:05.651
187,2015-10-18,18:02:05.870,INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID : jvm_1445144423722_0020_m_000003 asked for a task,E58,JVM with ID : jvm_<*> asked for a task,2015-10-18 18:02:05.870
188,2015-10-18,18:02:05.870,INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID: jvm_1445144423722_0020_m_000003 given task: attempt_1445144423722_0020_m_000001_0,E59,JVM with ID: jvm_<*> given task: <*>_<*>,2015-10-18 18:02:05.870
189,2015-10-18,18:02:06.557,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:02:06.557
190,2015-10-18,18:02:06.557,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,2015-10-18 18:02:06.557
191,2015-10-18,18:02:07.573,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>",2015-10-18 18:02:07.573
